elapsed_time,inbound_data,outbound_data
1,0.28,0.11
2,0.24,0.04
3,0.2,0.0
4,1.29,0.04
5,0.26,0.02
6,0.25,0.04
7,0.27,0.0
8,0.37,0.04
9,0.26,0.0
10,0.42,0.04
11,0.47,0.0
12,1.55,0.04
13,0.72,0.0
14,0.19,0.04
15,0.26,0.0
16,0.26,0.04
17,1.28,0.0
18,0.4,0.05
19,0.18,0.0
20,0.27,0.04
21,0.32,0.0
22,0.36,0.05
23,0.27,0.0
24,0.37,0.06
25,0.32,0.08
26,0.22,0.0
27,0.38,0.04
28,0.34,0.0
29,0.39,0.04
30,0.3,0.0
31,0.23,0.04
32,0.85,0.0
33,0.92,0.04
34,0.31,0.0
35,0.52,0.04
36,0.19,0.0
37,0.21,0.04
38,0.36,0.0
39,0.28,0.04
40,0.35,0.0
41,0.33,0.04
42,0.3,0.0
43,0.39,0.12
44,0.31,0.0
45,0.78,0.04
46,0.59,0.0
47,0.22,0.04
48,0.22,0.0
49,0.27,0.04
50,0.94,0.0
51,0.73,0.04
53,0.5,0.0
54,0.32,0.04
55,0.2,0.0
56,0.22,0.04
57,0.19,0.0
58,0.15,0.04
59,0.15,0.0
60,0.16,0.04
61,0.16,0.0
62,0.21,0.1
63,0.17,0.0
64,0.22,0.04
65,0.44,0.0
66,0.49,0.04
67,0.5,0.0
68,0.33,0.04
69,0.31,0.0
70,0.23,0.04
71,0.43,0.0
72,1.28,0.04
73,0.49,0.0
74,0.25,0.04
75,1.55,0.01
76,0.38,0.04
77,0.53,0.0
78,0.26,0.06
79,0.29,0.0
80,0.35,0.0
81,0.83,0.04
82,1.41,0.0
83,0.23,0.04
84,0.4,0.0
85,0.64,0.04
86,0.58,0.0
87,0.22,0.04
88,0.22,0.0
89,0.28,0.04
90,0.21,0.0
91,0.25,0.04
92,0.3,0.0
93,0.39,0.04
94,0.27,0.0
95,0.17,0.04
96,0.28,0.0
98,0.17,0.04
99,0.22,0.0
100,0.39,0.04
101,0.99,0.0
102,0.16,0.04
103,0.2,0.0
104,0.17,0.04
105,0.31,0.0
106,2.07,0.04
107,0.55,0.0
108,0.63,0.04
109,0.27,0.0
110,0.28,0.06
111,0.2,0.01
112,1.0,0.0
113,0.27,0.01
114,1.14,0.07
115,0.21,0.03
116,0.27,0.0
117,0.27,0.04
118,0.17,0.0
119,0.83,0.04
120,0.08,0.0
121,0.38,0.06
122,0.46,0.01
123,0.33,0.05
124,0.25,0.0
125,0.35,0.06
126,0.29,0.0
127,0.97,0.0
128,0.24,0.04
129,0.22,0.0
130,0.23,0.04
131,0.2,0.0
132,0.24,0.05
133,0.2,0.01
134,0.29,0.05
135,0.2,0.01
136,0.91,0.04
137,0.54,0.0
138,0.35,0.0
139,0.22,0.0
141,0.36,0.07
142,1.0,0.0
143,0.68,0.0
144,0.34,0.07
145,0.38,0.0
146,0.28,0.0
147,0.41,0.04
148,0.36,0.0
149,0.3,0.04
150,0.39,0.0
151,0.54,0.04
152,0.33,0.0
153,0.3,0.04
154,0.36,0.0
155,0.22,0.04
156,0.29,0.0
157,0.35,0.04
158,0.26,0.0
159,0.29,0.04
160,0.31,0.0
161,0.26,0.04
162,0.34,0.0
163,0.32,0.04
164,0.21,0.0
165,0.38,0.04
166,0.28,0.0
167,0.28,0.05
168,0.22,0.0
169,0.29,0.04
170,0.26,0.0
171,0.46,0.04
172,0.21,0.02
173,0.19,0.04
174,0.33,0.01
175,0.66,0.06
176,0.61,0.0
178,0.86,0.06
179,0.25,0.0
180,0.32,0.04
181,0.48,0.0
182,1.07,0.04
183,0.23,0.0
184,0.26,0.04
185,0.29,0.0
186,0.29,0.04
187,0.24,0.0
188,0.31,0.04
189,0.29,0.0
190,0.2,0.04
191,0.52,0.0
192,0.83,0.04
193,1.02,0.0
194,0.38,0.04
195,0.26,0.0
196,0.37,0.04
197,0.22,0.0
198,0.56,0.04
199,0.46,0.0
200,0.22,0.04
201,0.28,0.0
202,0.41,0.04
203,0.35,0.0
204,0.3,0.04
205,0.35,0.0
206,1.04,0.04
207,0.26,0.01
208,1.06,0.04
209,0.27,0.0
210,0.53,0.04
211,0.45,0.0
212,1.38,0.05
213,1.19,0.0
214,1.03,0.04
215,0.38,0.0
216,0.24,0.04
217,0.35,0.05
218,0.48,0.05
219,0.6,0.0
221,0.71,0.04
222,0.59,0.0
223,0.41,0.04
224,0.38,0.01
225,0.49,0.2
226,0.66,0.32
227,0.48,0.17
228,0.35,0.09
229,0.49,0.04
230,0.34,0.13
231,0.87,0.04
232,1.19,0.0
233,0.4,0.04
234,0.43,0.02
235,0.56,0.04
236,1.33,0.0
237,0.25,0.04
238,0.32,0.0
239,0.85,0.04
240,0.55,0.0
241,0.75,0.04
242,0.21,0.0
243,0.36,0.04
244,0.45,0.0
245,0.32,0.04
246,1.33,0.0
247,0.28,0.04
248,0.26,0.0
249,0.61,0.04
250,1.0,0.0
251,0.23,0.04
252,0.38,0.0
254,0.33,0.04
255,0.19,0.0
256,2.3,0.04
257,0.39,0.0
258,0.24,0.04
259,1.37,0.0
260,0.26,0.04
261,0.28,0.0
262,0.45,0.04
263,0.35,0.0
264,0.24,0.04
265,0.3,0.0
266,0.27,0.06
267,0.52,0.0
268,0.38,0.01
269,0.61,0.04
270,1.29,0.0
271,0.32,0.04
272,0.32,0.0
273,0.41,0.04
274,0.29,0.06
275,0.21,0.04
276,0.17,0.0
277,0.23,0.04
278,0.14,0.0
279,0.39,0.08
280,0.17,0.0
281,0.17,0.04
282,0.3,0.01
284,0.19,0.04
285,0.46,0.0
286,1.45,0.04
287,0.67,0.0
288,0.34,0.04
289,0.41,0.1
290,0.23,0.04
291,0.47,0.0
292,0.29,0.04
293,1.34,0.0
294,0.27,0.04
295,0.4,0.0
296,1.41,0.04
297,0.27,0.0
298,0.33,0.06
299,0.27,0.0
300,0.28,0.0
301,0.61,0.26
302,2.36,0.21
303,1.04,0.46
304,5.67,0.37
305,6.22,0.67
306,6.23,0.21
307,6.34,0.21
308,6.26,0.07
309,6.58,0.16
310,5.98,0.14
311,6.77,0.1
312,7.08,0.1
313,6.49,0.12
314,5.79,0.07
315,6.24,0.1
316,7.2,0.12
317,6.15,0.11
318,5.34,0.11
319,6.08,0.14
321,6.21,0.07
322,6.18,0.11
323,6.18,0.08
324,1.8,0.09
325,6.17,0.07
326,5.9,0.13
327,5.9,0.08
328,4.55,0.06
329,0.26,0.08
330,0.26,0.02
331,5.76,0.1
332,6.17,0.08
333,5.02,0.11
334,1.17,0.01
335,3.61,0.1
336,0.3,0.02
337,0.25,0.04
338,0.25,0.0
339,0.32,0.04
340,0.2,0.0
341,0.24,0.04
342,0.27,0.0
343,0.32,0.05
344,0.26,0.0
346,0.42,0.04
347,0.43,0.0
348,1.41,0.04
349,0.52,0.0
350,0.36,0.04
351,0.33,0.0
352,0.26,0.04
353,0.24,0.01
354,0.26,0.04
355,0.26,0.0
356,0.21,0.04
357,0.18,0.0
358,1.19,0.07
359,6.28,0.06
360,6.52,0.11
361,6.14,0.07
362,6.23,0.12
363,6.11,0.1
364,6.14,0.11
365,6.28,0.08
366,5.67,0.12
367,5.86,0.13
368,6.22,0.09
370,6.32,0.11
371,5.37,0.05
372,1.66,0.08
373,6.72,0.07
374,7.11,0.1
375,5.11,0.07
376,1.14,0.11
377,7.41,0.07
378,6.28,0.08
379,4.61,0.12
380,0.32,0.0
381,0.48,0.06
382,0.39,0.0
383,0.45,0.05
384,1.56,0.0
385,4.94,0.13
386,6.15,0.07
387,6.32,0.07
388,6.31,0.11
389,6.37,0.07
390,0.41,0.04
391,0.74,0.0
392,0.65,0.04
393,0.27,0.0
394,0.21,0.04
395,0.18,0.0
397,0.22,0.04
398,0.25,0.0
399,0.23,0.04
400,0.3,0.0
401,0.29,0.04
402,0.25,0.04
403,1.29,0.07
404,6.34,0.07
405,6.06,0.11
406,6.5,0.07
407,6.12,0.1
408,6.27,0.07
409,3.8,0.08
410,0.18,0.01
411,0.21,0.04
412,0.34,0.0
413,0.22,0.07
414,0.32,0.0
415,1.2,0.0
416,0.25,0.04
417,0.21,0.0
418,0.32,0.04
419,0.27,0.0
420,0.19,0.04
421,0.37,0.11
422,0.44,0.05
423,0.34,0.01
424,0.57,0.04
425,1.05,0.0
426,0.31,0.04
427,1.38,0.0
428,0.58,0.04
430,0.36,0.01
431,1.27,0.04
432,0.39,0.06
433,1.29,0.04
434,0.33,0.01
435,0.23,0.04
436,0.18,0.0
437,0.23,0.04
438,0.5,0.0
439,1.35,0.04
440,0.21,0.0
441,0.53,0.04
442,0.9,0.0
443,1.47,0.05
444,0.48,0.0
445,0.52,0.04
446,0.36,0.0
447,0.52,0.04
448,0.31,0.0
449,0.2,0.04
450,0.55,0.0
451,0.28,0.04
452,0.24,0.0
453,0.25,0.04
454,1.3,0.0
455,0.51,0.04
456,0.37,0.0
457,0.47,0.04
458,0.29,0.0
459,0.29,0.04
460,0.48,0.0
461,0.22,0.04
462,0.24,0.0
463,0.32,0.04
465,0.32,0.0
466,0.27,0.04
467,0.53,0.0
468,0.38,0.04
469,0.28,0.0
470,0.31,0.04
471,0.39,0.0
472,0.94,0.04
473,0.66,0.0
474,0.25,0.04
475,0.22,0.0
476,0.23,0.04
477,0.17,0.0
478,0.2,0.04
479,0.23,0.0
480,1.77,0.04
481,0.26,0.0
482,0.32,0.04
483,0.44,0.0
484,0.26,0.04
485,0.23,0.0
486,0.32,0.04
487,0.25,0.0
488,0.23,0.04
489,0.31,0.0
490,0.17,0.04
491,0.24,0.0
492,0.32,0.04
493,0.21,0.0
494,0.18,0.04
496,0.27,0.0
497,0.31,0.04
498,0.39,0.0
499,0.22,0.04
500,0.22,0.0
501,0.29,0.06
502,0.27,0.0
503,0.27,0.07
504,0.27,0.0
505,0.4,0.04
506,0.26,0.0
507,0.55,0.07
508,1.48,0.05
509,0.23,0.04
510,1.0,0.0
511,0.84,0.06
512,0.32,0.02
513,0.59,0.08
514,0.3,0.0
515,0.25,0.04
516,0.2,0.0
517,0.23,0.04
518,0.21,0.0
519,0.19,0.04
520,0.13,0.0
521,0.31,0.04
522,0.15,0.0
523,0.23,0.04
524,0.48,0.0
525,0.44,0.04
526,0.26,0.0
527,0.32,0.04
528,0.28,0.0
529,0.29,0.04
530,0.32,0.0
532,0.23,0.04
533,0.25,0.0
534,1.02,0.04
535,0.25,0.0
536,0.2,0.04
537,0.21,0.0
538,0.29,0.04
539,0.22,0.0
540,0.2,0.04
541,0.46,0.0
542,0.26,0.04
543,0.17,0.0
544,0.43,0.06
545,0.22,0.0
546,0.19,0.04
547,0.3,0.0
548,0.22,0.04
549,0.31,0.0
550,0.43,0.04
551,0.27,0.0
552,0.3,0.04
553,0.2,0.0
554,0.2,0.04
555,0.26,0.0
556,0.19,0.04
557,1.56,0.0
558,0.85,0.04
559,0.17,0.02
560,0.19,0.04
561,0.2,0.01
562,0.22,0.06
563,0.21,0.0
564,0.37,0.07
566,0.32,0.0
567,0.27,0.0
568,0.3,0.05
569,0.21,0.0
570,0.16,0.04
571,0.2,0.0
572,1.39,0.05
573,0.28,0.03
574,0.4,0.06
575,0.32,0.04
576,0.28,0.07
577,0.34,0.04
578,0.3,0.0
579,0.18,0.04
580,0.21,0.0
581,0.23,0.04
582,0.36,0.0
583,0.18,0.04
584,0.2,0.0
585,0.27,0.04
586,0.34,0.0
587,0.95,0.04
588,0.3,0.0
589,0.19,0.04
590,0.37,0.0
591,0.36,0.04
592,0.21,0.0
593,0.27,0.04
595,1.14,0.0
596,0.36,0.04
597,0.25,0.0
598,1.17,0.04
599,0.46,0.0
600,0.26,0.04
601,0.32,0.0
602,1.14,0.04
603,0.26,0.0
604,0.51,0.04
605,0.32,0.0
606,1.53,0.04
607,0.39,0.0
608,0.26,0.04
609,0.32,0.0
610,0.25,0.04
611,0.25,0.0
612,0.44,0.04
613,0.68,0.0
614,0.3,0.12
615,0.53,0.03
616,1.05,0.04
617,0.28,0.0
618,0.3,0.04
619,0.41,0.0
620,0.27,0.04
621,0.41,0.0
622,0.29,0.04
623,0.42,0.0
624,0.39,0.04
625,0.4,0.0
626,0.96,0.04
627,0.29,0.0
628,0.27,0.04
629,0.21,0.0
630,0.3,0.04
631,1.12,0.0
633,0.27,0.04
634,0.37,0.0
635,0.43,0.04
636,0.27,0.01
637,1.9,0.31
638,1.31,0.25
639,0.66,0.25
640,0.74,0.31
641,0.71,0.16
642,0.45,0.23
643,0.35,0.07
644,0.32,0.14
645,0.26,0.13
646,0.59,0.13
647,0.42,0.15
648,0.29,0.14
649,1.19,0.34
650,0.72,0.27
651,1.02,0.37
652,0.66,0.28
653,1.35,0.33
654,1.43,0.08
655,0.98,0.37
656,2.44,0.21
657,3.1,0.62
658,5.12,0.33
659,6.15,0.24
660,6.16,0.32
661,6.23,0.21
662,6.43,0.13
664,5.87,0.11
665,1.54,0.05
666,0.31,0.01
667,0.6,0.05
668,0.21,0.03
669,0.3,0.06
670,0.21,0.0
671,2.28,0.08
672,0.43,0.0
673,0.29,0.04
674,0.25,0.0
675,1.71,0.08
676,2.16,0.03
677,0.4,0.05
678,1.03,0.0
679,0.31,0.04
680,1.99,0.05
681,0.45,0.04
682,0.43,0.0
684,0.23,0.04
685,1.18,0.03
686,2.39,0.06
687,0.83,0.04
688,0.53,0.05
689,0.28,0.03
690,0.49,0.09
691,1.55,0.0
692,2.23,0.09
693,0.42,0.0
694,0.2,0.04
695,0.24,0.0
696,0.2,0.04
697,2.2,0.05
698,0.34,0.09
699,0.35,0.12
